company_name,cik,has_exhibit21,exhibit21_url,subsidiary_count,reason
NMI Holdings Inc,1547903,False,,0,"10-K found, but Exhibit-21 missing"
NN Inc,918541,False,,0,"10-K found, but Exhibit-21 missing"
NNN REIT Inc,751364,True,https://www.sec.gov/Archives/edgar/data/751364/000095017025017472/nnn-ex21.htm,11,Exhibit-21 found
Nobility Homes Inc,72205,True,https://www.sec.gov/Archives/edgar/data/72205/000095017025011000/ck0000072205-ex21_1.htm,2,Exhibit-21 found
Noble Corp PLC,1895262,False,,0,"10-K found, but Exhibit-21 missing"
Nocera Inc,1756180,False,,0,"10-K found, but Exhibit-21 missing"
Nocopi Technologies Inc,888981,False,,0,"10-K found, but Exhibit-21 missing"
NON Invasive Monitoring Systems Inc,720762,True,https://www.sec.gov/Archives/edgar/data/720762/000149315224042532/ex21-1.htm,2,Exhibit-21 found
Noodles & Co,1275158,True,https://www.sec.gov/Archives/edgar/data/1275158/000127515825000016/a2024q4ex211_listingofsubs.htm,7,Exhibit-21 found
Nordicus Partners Corp,1011060,False,,0,"10-K found, but Exhibit-21 missing"
Nordson Corp,72331,False,,0,"10-K found, but Exhibit-21 missing"
Nordstrom Inc,1067983,True,https://www.sec.gov/Archives/edgar/data/1067983/000095017025025210/brka-ex21.htm,219,Exhibit-21 found
Norfolk Southern Corp,702165,False,,0,"10-K found, but Exhibit-21 missing"
Nortech Systems Inc,722313,True,https://www.sec.gov/Archives/edgar/data/722313/000164117225001473/ex21.htm,4,Exhibit-21 found
North Haven Private Income Fund LLC,726728,False,,0,"10-K found, but Exhibit-21 missing"
Northann Corp,1923780,True,https://www.sec.gov/Archives/edgar/data/1923780/000157587225000433/ncl077_ex21-1.htm,10,Exhibit-21 found
Northeast Community Bancorp Inc,1847398,True,https://www.sec.gov/Archives/edgar/data/1847398/000155837025002975/necb-20241231xex21d0.htm,6,Exhibit-21 found
Northern OIL & GAS Inc,1104485,False,,0,"10-K found, but Exhibit-21 missing"
Northern Technologies International Corp,875582,False,,0,"10-K found, but Exhibit-21 missing"
Northfield Bancorp Inc,1493225,False,,0,"10-K found, but Exhibit-21 missing"
Northrim Bancorp Inc,1163370,False,,0,"10-K found, but Exhibit-21 missing"
Northrop Grumman Corp,1133421,True,https://www.sec.gov/Archives/edgar/data/1133421/000113342125000006/noc-12312024xex21.htm,1,Exhibit-21 found
Northview Acquisition Corp,1998781,False,,0,"10-K found, but Exhibit-21 missing"
Northwest Bancshares Inc,1471265,False,,0,"10-K found, but Exhibit-21 missing"
Northwest Biotherapeutics Inc,1072379,True,https://www.sec.gov/Archives/edgar/data/1072379/000141057825000598/nwbo-20241231xex21d1.htm,1,Exhibit-21 found
Northwest Natural Holding Co,1733998,True,https://www.sec.gov/Archives/edgar/data/1733998/000173399825000020/ex2112312024.htm,53,Exhibit-21 found
Northwest PIPE Co,2070829,False,,0,No 10-K found
Northwestern Energy Group Inc,1993004,False,,0,"10-K found, but Exhibit-21 missing"
