CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00147231,CROWLEY MARITIME CORPORATION FEDERAL PAC,CROWLEY MARITIME CORPORATION FEDERAL PAC,Q,C,crowley maritime corporation federal,0.0,False,,
C00148031,CATERPILLAR INC. POLITICAL ACTION COMMITTEE (CATPAC),CATERPILLAR INC.,Q,C,caterpillar inc catpac,281411.99,true,2016,2026
C00148510,"WAWA, INC. POLITICAL ACTION COMMITTEE",WAWA INC,Q,C,wawa inc,0.0,False,,
C00151175,EQT CORPORATION PAC,EQT CORPORATION,Q,C,eqt corporation,133688.51,true,2016,2026
C00152892,NATIONAL SOCIETY OF PROFESSIONAL SURVEYORS INC NSPS PAC,NONE,Q,C,national society professional surveyors inc nsps,0.0,False,,
C00153379,NV ENERGY POLITICAL ACTION COMMITTEE,NV ENERGY,Q,C,nv energy,0.0,False,,
C00153445,NATIONAL HEALTH CORPORATION POLITICAL ACTION COMMITTEE,NATIONAL HEALTH CORPORATION,Q,C,national health corporation,0.0,False,,
C00155564,FLORIDA RIGHT TO LIFE POLITICAL ACTION COMMITTEE,FLORIDA RIGHT TO LIFE INC,Q,C,florida right to life,0.0,False,,
C00155853,CONTINENTAL GRAIN COMPANY POLITICAL ACTION COMMITTEE,WAYNE FARMS POLITICAL ACTION COMMITTEE,Q,C,continental grain company,0.0,False,,
C00160077,UNITED COMMUNITY BANKERS PAC (BANCFIRST CORP),NONE,Q,C,united community bankers bancfirst corp,0.0,False,,
C00160630,"DRUMMOND COMPANY, INC. POLITICAL ACTION COMMITTEE (DPAC)","DRUMMOND COMPANY, INC.",Q,C,drummond company inc dpac,0.0,False,,
C00160770,WALGREEN CO PAC (WALGREENSPAC),WALGREEN CO,Q,C,walgreen co walgreenspac,0.0,False,,
C00160838,BACARDI U S A INC POLITICAL ACTION COMMITTEE,BACARDI U S A INC POLITICAL ACTION COMMITTEE,Q,C,bacardi u s a inc,2000.0,true,2018,2018
C00161414,PROTECTIVE LIFE CORPORATION FEDERAL POLITICAL ACTION COMMITTEE ('PROTECTPAC'),PROTECTIVE LIFE CORPORATION,Q,C,protective life corporation federal protectpac,0.0,False,,
