CONNECTED_ORG_NM,pac_count,active_pac_count,has_any_pac_donated,total_pac_amount,has_pac,has_pac_donations
INTERGRAPH CORPORATION,1,0,False,0.0,True,False
INTERNATIONAL BANK OF COMMERCE,1,0,False,0.0,True,False
INTERNATIONAL PAPER,1,1,True,410957.13,True,True
INTERNATIONAL TEXTILE GROUP INC,1,0,False,0.0,True,False
INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 4,1,0,False,0.0,True,False
INTUIT INC.,1,1,True,117000.0,True,True
"INTUITIVE SURGICAL, INC.",1,0,False,0.0,True,False
"INVESCO HOLDING COMPANY (US), INC.",1,0,False,0.0,True,False
IRON MOUNTAIN INCORPORATED,1,0,False,0.0,True,False
ITC HOLDINGS CORP.,1,0,False,0.0,True,False
J. H. FLETCHER & CO,1,0,False,0.0,True,False
J.R. SIMPLOT COMPANY,1,0,False,0.0,True,False
JACKSON HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY,2,0,False,0.0,True,False
JACKSON LEWIS P.C.,1,0,False,0.0,True,False
JACOBS ENGINEERING GROUP INC.,1,0,False,0.0,True,False
JBS USA LLC,1,0,False,0.0,True,False
JCPENNEY COPORATION,1,0,False,0.0,True,False
"JELD-WEN, INC.",1,0,False,0.0,True,False
JETBLUE AIRWAYS CORP.,1,1,True,15000.0,True,True
JOHN HANCOCK LIFE INSURANCE COMPANY (USA),1,0,False,0.0,True,False
"JUUL LABS, INC.",1,1,True,5000.0,True,True
KAMAN CORP.,1,0,False,0.0,True,False
KANSAS CITY LIFE INSURANCE COMPANY,1,0,False,0.0,True,False
KB HOME,1,0,False,0.0,True,False
KELLOGG COMPANY,1,0,False,0.0,True,False
KELLY SERVICES INC.,1,1,True,1200.0,True,True
KEURIG DR PEPPER INC.,1,1,True,14115.59,True,True
"KOCH INDUSTRIES, INC.",1,0,False,0.0,True,False
KOMATSU MINING CORP.,1,0,False,0.0,True,False
"L BRANDS, INC.",1,0,False,0.0,True,False
"L3HARRIS TECHNOLOGIES, INC.",1,1,True,578761.65,True,True
"LEIDOS, INC.",1,1,True,282108.57,True,True
LIBERTY MEDIA CORPORATION,1,1,True,9500.0,True,True
LIBERTY MUTUAL INSURANCE COMPANY,1,0,False,0.0,True,False
"LIFEPOINT CORPORATE SERVICES, GENERAL PARTNERSHIP (LCSGP) AND FACILITIES WHICH ARE SUBSIDIARIES OF LIFEPOINT HEALTH (COLLECTIVELY LIFEPOINT)",1,0,False,0.0,True,False
"LINCARE HOLDINGS, INC. EMPLOYEE ACTION FUND",1,0,False,0.0,True,False
LINCOLN NATIONAL CORPORATION,1,0,False,0.0,True,False
LKQ CORPORATION,1,1,True,459700.0,True,True
LOCKHEED MARTIN CORPORATION,1,1,True,197350.0,True,True
LOEWS CORPORATION,1,1,True,149200.0,True,True
LONE ROCK TIMBER MANAGEMENT CO,1,0,False,0.0,True,False
LOUISIANA-PACIFIC CORPORATION,1,1,True,37067.3,True,True
"LOWE'S COMPANIES, INC.",1,1,True,98749.23,True,True
LPL FINANCIAL LLC,1,0,False,0.0,True,False
LSCP LLC,1,0,False,0.0,True,False
LUNDBECK LLC,1,0,False,0.0,True,False
M&T BANK,1,1,True,122200.0,True,True
